dteday,season,yr,weekday,hr,rider_type,riders,price,COGS,revenue,profit
1/1/2021,1,0,6,0,casual,3,3.99,1.24,11.97,10.73
1/1/2021,1,0,6,1,casual,8,3.99,1.24,31.92,30.680000000000003
1/1/2021,1,0,6,2,casual,5,3.99,1.24,19.950000000000003,18.710000000000004
1/1/2021,1,0,6,3,casual,3,3.99,1.24,11.97,10.73
1/1/2021,1,0,6,4,casual,0,3.99,1.24,0,-1.24
1/1/2021,1,0,6,5,casual,0,3.99,1.24,0,-1.24
1/1/2021,1,0,6,6,casual,2,3.99,1.24,7.98,6.74
1/1/2021,1,0,6,7,casual,1,3.99,1.24,3.99,2.75
1/1/2021,1,0,6,8,casual,1,3.99,1.24,3.99,2.75
1/1/2021,1,0,6,9,casual,8,3.99,1.24,31.92,30.680000000000003
1/1/2021,1,0,6,10,casual,12,3.99,1.24,47.88,46.64
1/1/2021,1,0,6,11,casual,26,3.99,1.24,103.74000000000001,102.50000000000001
1/1/2021,1,0,6,12,casual,29,3.99,1.24,115.71000000000001,114.47000000000001
1/1/2021,1,0,6,13,casual,47,3.99,1.24,187.53,186.29
1/1/2021,1,0,6,14,casual,35,3.99,1.24,139.65,138.41
1/1/2021,1,0,6,15,casual,40,3.99,1.24,159.60000000000002,158.36
1/1/2021,1,0,6,16,casual,41,3.99,1.24,163.59,162.35
1/1/2021,1,0,6,17,casual,15,3.99,1.24,59.85,58.61
1/1/2021,1,0,6,18,casual,9,3.99,1.24,35.910000000000004,34.67
1/1/2021,1,0,6,19,casual,6,3.99,1.24,23.94,22.700000000000003
1/1/2021,1,0,6,20,casual,11,3.99,1.24,43.89,42.65
1/1/2021,1,0,6,21,casual,3,3.99,1.24,11.97,10.73
1/1/2021,1,0,6,22,casual,11,3.99,1.24,43.89,42.65
1/1/2021,1,0,6,23,casual,15,3.99,1.24,59.85,58.61
2/1/2021,1,0,0,0,casual,4,3.99,1.24,15.96,14.72
2/1/2021,1,0,0,1,casual,1,3.99,1.24,3.99,2.75
2/1/2021,1,0,0,2,casual,1,3.99,1.24,3.99,2.75
2/1/2021,1,0,0,3,casual,2,3.99,1.24,7.98,6.74
2/1/2021,1,0,0,4,casual,2,3.99,1.24,7.98,6.74
2/1/2021,1,0,0,6,casual,0,3.99,1.24,0,-1.24
2/1/2021,1,0,0,7,casual,0,3.99,1.24,0,-1.24
2/1/2021,1,0,0,8,casual,0,3.99,1.24,0,-1.24
2/1/2021,1,0,0,9,casual,1,3.99,1.24,3.99,2.75
2/1/2021,1,0,0,10,casual,7,3.99,1.24,27.93,26.69
2/1/2021,1,0,0,11,casual,16,3.99,1.24,63.84,62.6
2/1/2021,1,0,0,12,casual,20,3.99,1.24,79.80000000000001,78.56000000000002
2/1/2021,1,0,0,13,casual,11,3.99,1.24,43.89,42.65
2/1/2021,1,0,0,14,casual,4,3.99,1.24,15.96,14.72
2/1/2021,1,0,0,15,casual,19,3.99,1.24,75.81,74.57000000000001
2/1/2021,1,0,0,16,casual,9,3.99,1.24,35.910000000000004,34.67
2/1/2021,1,0,0,17,casual,7,3.99,1.24,27.93,26.69
2/1/2021,1,0,0,18,casual,10,3.99,1.24,39.900000000000006,38.660000000000004
2/1/2021,1,0,0,19,casual,1,3.99,1.24,3.99,2.75
2/1/2021,1,0,0,20,casual,5,3.99,1.24,19.950000000000003,18.710000000000004
2/1/2021,1,0,0,21,casual,11,3.99,1.24,43.89,42.65
2/1/2021,1,0,0,22,casual,0,3.99,1.24,0,-1.24
2/1/2021,1,0,0,23,casual,0,3.99,1.24,0,-1.24
